Set,Chain1,Chain2,LoopRMSD,AnchorRMSD
8,6ch7D,6ce0D,1.1803204436334085,0.14449057729359954
8,6ch7D,5um8D,1.2726330468747986,0.3031885963588753
8,6ce0D,5um8D,0.6577891624279619,0.2648337857368372
9,4o51B,4o51D,0.137228254801335,0.03966507794191453
9,4o51B,4o51F,0.20387701066064715,0.08506382428080429
9,4o51B,4o51H,0.2510051636782133,0.09401602331035673
9,4o51D,4o51F,0.20577131691640227,0.08806108317135182
9,4o51D,4o51H,0.2984160311950784,0.10343050752135002
9,4o51F,4o51H,0.1654663733211716,0.040617200985219065
10,4nkdC,4nkdA,0.04879624577782152,0.015366162263195903
10,4nkdC,4nkdE,0.220813681332354,0.052611389141274514
10,4nkdC,4nkdG,0.22091493317308747,0.04427054623475248
10,4nkdA,4nkdE,0.24234680350942145,0.04621053511532655
10,4nkdA,4nkdG,0.24424296332275355,0.03917864206933862
10,4nkdE,4nkdG,0.03903927559677068,0.01070128941058756
11,5w08K,5w08I,0.14356965356781332,0.05232797692812268
11,5w08K,5w08O,0.2433212645373212,0.043128136773484385
11,5w08K,5w08G,0.2547658564260321,0.04570635909140119
11,5w08K,5w08M,0.2894330484941277,0.08962277797137343
11,5w08K,5w08Q,0.40397789022817693,0.0564218368813195
11,5w08I,5w08O,0.2381801586208401,0.05303711680931367
11,5w08I,5w08G,0.16802185073116058,0.043093288946197884
11,5w08I,5w08M,0.3334982161223988,0.09865343285268896
11,5w08I,5w08Q,0.33300738740149965,0.058342678612218236
11,5w08O,5w08G,0.19305035433225412,0.04594323500611939
11,5w08O,5w08M,0.29595471781700844,0.07311704752651751
11,5w08O,5w08Q,0.34117780479796905,0.03923085036992149
11,5w08G,5w08M,0.3557763759746592,0.10828111389875124
11,5w08G,5w08Q,0.3006521821224125,0.06336413872114569
11,5w08M,5w08Q,0.5759199787958261,0.05216081586527078
13,3eo0D,3eo0B,0.03670221879846446,0.02784452741415233
13,3eo0D,4kxzQ,0.4452220674344184,0.1199120342341088
13,3eo0D,4kxzN,0.4419598863019417,0.1325601896316115
13,3eo0D,4kxzJ,0.4233879009279841,0.13719769006434412
13,3eo0D,4kxzH,0.4836836464789145,0.18145998931395
13,3eo0D,3eo1H,0.7556929589941124,0.2958435196355279
13,3eo0D,3eo1K,0.7085129612939792,0.22012465494317232
13,3eo0D,3eo1E,0.7086185425749958,0.22011338861682694
13,3eo0D,3eo1B,0.7557953800050118,0.2957510549173749
13,3eo0D,4kv5J,0.5622419321618629,0.25991382875025226
13,3eo0D,4kv5G,0.5713061403509613,0.3014111302522957
13,3eo0D,4kv5H,0.4481431939010965,0.2284593673482831
13,3eo0D,4kv5E,0.6135907333801114,0.2371292833750376
13,3eo0B,4kxzQ,0.4602384276916658,0.13010113212804908
13,3eo0B,4kxzN,0.4416931030470794,0.1407775187525481
13,3eo0B,4kxzJ,0.4394996109853331,0.14749602023359826
13,3eo0B,4kxzH,0.47994682993552795,0.18618057401556956
13,3eo0B,3eo1H,0.7676391868473014,0.2949897700900717
13,3eo0B,3eo1K,0.7225530189807456,0.2172096567156199
13,3eo0B,3eo1E,0.7226617761349098,0.2172037285718852
13,3eo0B,3eo1B,0.7677265635223353,0.2948940151486273
13,3eo0B,4kv5J,0.5628510611486416,0.2605374896409218
13,3eo0B,4kv5G,0.5680661575765394,0.3009262174048494
13,3eo0B,4kv5H,0.45634989200161097,0.2241955658379596
13,3eo0B,4kv5E,0.6053442980932336,0.2371346934480805
13,4kxzQ,4kxzN,0.30125463996079943,0.03820652700895659
13,4kxzQ,4kxzJ,0.10492517212624572,0.05929219022501051
13,4kxzQ,4kxzH,0.3825767822896412,0.09885753621469404
13,4kxzQ,3eo1H,0.5188852108116351,0.22223118888403548
13,4kxzQ,3eo1K,0.4639662787355631,0.19325301350189047
13,4kxzQ,3eo1E,0.4641404481408155,0.19322677667372914
13,4kxzQ,3eo1B,0.5190541292212612,0.22218832329181798
13,4kxzQ,4kv5J,0.36375373447605175,0.19935675396828428
13,4kxzQ,4kv5G,0.4551783684601962,0.2469774332551069
13,4kxzQ,4kv5H,0.2135468330669355,0.1896612448500916
13,4kxzQ,4kv5E,0.5193725644753431,0.1937470906272178
13,4kxzN,4kxzJ,0.3388592007270225,0.08115703369344181
13,4kxzN,4kxzH,0.14570239676684724,0.08657024251768014
13,4kxzN,3eo1H,0.6888722682643297,0.2239230350739333
13,4kxzN,3eo1K,0.6212334745615449,0.21559415061442752
13,4kxzN,3eo1E,0.6215033350269638,0.21556214697766773
13,4kxzN,3eo1B,0.6888500093590082,0.2238980195921604
13,4kxzN,4kv5J,0.3210853986280553,0.19146639303662905
13,4kxzN,4kv5G,0.3436070925423545,0.2426514266518077
13,4kxzN,4kv5H,0.29836868046875,0.18936162981958773
